Province.State,Country.Region,DateCode,ReportTime,Confirmed,Deaths,Recovered,Existing
"",Armenia,X2.26.20,2020-02-26T06:00:00Z,0,0,0,0
"",Armenia,X2.27.20,2020-02-27T06:00:00Z,0,0,0,0
"",Armenia,X2.28.20,2020-02-28T06:00:00Z,0,0,0,0
"",Armenia,X2.29.20,2020-02-29T06:00:00Z,0,0,0,0
"",Armenia,X2.3.20,2020-02-03T06:00:00Z,0,0,0,0
"",Armenia,X2.4.20,2020-02-04T06:00:00Z,0,0,0,0
"",Armenia,X2.5.20,2020-02-05T06:00:00Z,0,0,0,0
"",Armenia,X2.6.20,2020-02-06T06:00:00Z,0,0,0,0
"",Armenia,X2.7.20,2020-02-07T06:00:00Z,0,0,0,0
"",Armenia,X2.8.20,2020-02-08T06:00:00Z,0,0,0,0
"",Armenia,X2.9.20,2020-02-09T06:00:00Z,0,0,0,0
"",Armenia,X3.1.20,2020-03-01T06:00:00Z,1,0,0,1
"",Armenia,X3.10.20,2020-03-10T05:00:00Z,1,0,0,1
"",Armenia,X3.11.20,2020-03-11T05:00:00Z,1,0,0,1
"",Armenia,X3.2.20,2020-03-02T06:00:00Z,1,0,0,1
"",Armenia,X3.3.20,2020-03-03T06:00:00Z,1,0,0,1
"",Armenia,X3.4.20,2020-03-04T06:00:00Z,1,0,0,1
"",Armenia,X3.5.20,2020-03-05T06:00:00Z,1,0,0,1
"",Armenia,X3.6.20,2020-03-06T06:00:00Z,1,0,0,1
"",Armenia,X3.7.20,2020-03-07T06:00:00Z,1,0,0,1
"",Armenia,X3.8.20,2020-03-08T06:00:00Z,1,0,0,1
"",Armenia,X3.9.20,2020-03-09T05:00:00Z,1,0,0,1
"",Austria,X1.22.20,2020-01-22T06:00:00Z,0,0,0,0
"",Austria,X1.23.20,2020-01-23T06:00:00Z,0,0,0,0
"",Austria,X1.24.20,2020-01-24T06:00:00Z,0,0,0,0
"",Austria,X1.25.20,2020-01-25T06:00:00Z,0,0,0,0
"",Austria,X1.26.20,2020-01-26T06:00:00Z,0,0,0,0
"",Austria,X1.27.20,2020-01-27T06:00:00Z,0,0,0,0
"",Austria,X1.28.20,2020-01-28T06:00:00Z,0,0,0,0
"",Austria,X1.29.20,2020-01-29T06:00:00Z,0,0,0,0
"",Austria,X1.30.20,2020-01-30T06:00:00Z,0,0,0,0
"",Austria,X1.31.20,2020-01-31T06:00:00Z,0,0,0,0
"",Austria,X2.1.20,2020-02-01T06:00:00Z,0,0,0,0
"",Austria,X2.10.20,2020-02-10T06:00:00Z,0,0,0,0
"",Austria,X2.11.20,2020-02-11T06:00:00Z,0,0,0,0
"",Austria,X2.12.20,2020-02-12T06:00:00Z,0,0,0,0
"",Austria,X2.13.20,2020-02-13T06:00:00Z,0,0,0,0
"",Austria,X2.14.20,2020-02-14T06:00:00Z,0,0,0,0
"",Austria,X2.15.20,2020-02-15T06:00:00Z,0,0,0,0
"",Austria,X2.16.20,2020-02-16T06:00:00Z,0,0,0,0
"",Austria,X2.17.20,2020-02-17T06:00:00Z,0,0,0,0
"",Austria,X2.18.20,2020-02-18T06:00:00Z,0,0,0,0
"",Austria,X2.19.20,2020-02-19T06:00:00Z,0,0,0,0
"",Austria,X2.2.20,2020-02-02T06:00:00Z,0,0,0,0
"",Austria,X2.20.20,2020-02-20T06:00:00Z,0,0,0,0
"",Austria,X2.21.20,2020-02-21T06:00:00Z,0,0,0,0
"",Austria,X2.22.20,2020-02-22T06:00:00Z,0,0,0,0
"",Austria,X2.23.20,2020-02-23T06:00:00Z,0,0,0,0
"",Austria,X2.24.20,2020-02-24T06:00:00Z,0,0,0,0
"",Austria,X2.25.20,2020-02-25T06:00:00Z,2,0,0,2
"",Austria,X2.26.20,2020-02-26T06:00:00Z,2,0,0,2
"",Austria,X2.27.20,2020-02-27T06:00:00Z,3,0,0,3
"",Austria,X2.28.20,2020-02-28T06:00:00Z,3,0,0,3
"",Austria,X2.29.20,2020-02-29T06:00:00Z,9,0,0,9
"",Austria,X2.3.20,2020-02-03T06:00:00Z,0,0,0,0
"",Austria,X2.4.20,2020-02-04T06:00:00Z,0,0,0,0
"",Austria,X2.5.20,2020-02-05T06:00:00Z,0,0,0,0
"",Austria,X2.6.20,2020-02-06T06:00:00Z,0,0,0,0
"",Austria,X2.7.20,2020-02-07T06:00:00Z,0,0,0,0
"",Austria,X2.8.20,2020-02-08T06:00:00Z,0,0,0,0
"",Austria,X2.9.20,2020-02-09T06:00:00Z,0,0,0,0
"",Austria,X3.1.20,2020-03-01T06:00:00Z,14,0,0,14
"",Austria,X3.10.20,2020-03-10T05:00:00Z,182,0,4,178
"",Austria,X3.11.20,2020-03-11T05:00:00Z,246,0,4,242
"",Austria,X3.2.20,2020-03-02T06:00:00Z,18,0,0,18
"",Austria,X3.3.20,2020-03-03T06:00:00Z,21,0,0,21
"",Austria,X3.4.20,2020-03-04T06:00:00Z,29,0,0,29
"",Austria,X3.5.20,2020-03-05T06:00:00Z,41,0,0,41
"",Austria,X3.6.20,2020-03-06T06:00:00Z,55,0,0,55
"",Austria,X3.7.20,2020-03-07T06:00:00Z,79,0,0,79
"",Austria,X3.8.20,2020-03-08T06:00:00Z,104,0,0,104
"",Austria,X3.9.20,2020-03-09T05:00:00Z,131,0,2,129
"",Azerbaijan,X1.22.20,2020-01-22T06:00:00Z,0,0,0,0
"",Azerbaijan,X1.23.20,2020-01-23T06:00:00Z,0,0,0,0
"",Azerbaijan,X1.24.20,2020-01-24T06:00:00Z,0,0,0,0
"",Azerbaijan,X1.25.20,2020-01-25T06:00:00Z,0,0,0,0
"",Azerbaijan,X1.26.20,2020-01-26T06:00:00Z,0,0,0,0
"",Azerbaijan,X1.27.20,2020-01-27T06:00:00Z,0,0,0,0
"",Azerbaijan,X1.28.20,2020-01-28T06:00:00Z,0,0,0,0
"",Azerbaijan,X1.29.20,2020-01-29T06:00:00Z,0,0,0,0
"",Azerbaijan,X1.30.20,2020-01-30T06:00:00Z,0,0,0,0
"",Azerbaijan,X1.31.20,2020-01-31T06:00:00Z,0,0,0,0
"",Azerbaijan,X2.1.20,2020-02-01T06:00:00Z,0,0,0,0
"",Azerbaijan,X2.10.20,2020-02-10T06:00:00Z,0,0,0,0
"",Azerbaijan,X2.11.20,2020-02-11T06:00:00Z,0,0,0,0
"",Azerbaijan,X2.12.20,2020-02-12T06:00:00Z,0,0,0,0
"",Azerbaijan,X2.13.20,2020-02-13T06:00:00Z,0,0,0,0
"",Azerbaijan,X2.14.20,2020-02-14T06:00:00Z,0,0,0,0
"",Azerbaijan,X2.15.20,2020-02-15T06:00:00Z,0,0,0,0
"",Azerbaijan,X2.16.20,2020-02-16T06:00:00Z,0,0,0,0
"",Azerbaijan,X2.17.20,2020-02-17T06:00:00Z,0,0,0,0
"",Azerbaijan,X2.18.20,2020-02-18T06:00:00Z,0,0,0,0
